SIM	  15.410	1.000	P	  87.072	139.73	YN	BHZ	Pg
SIM	  26.490	0.500	S	  87.072	139.73	YN	BHE	Sg
ZHY	  16.330	1.000	P	  95.381	 43.12	YN	BHZ	Pg
ZHY	  28.990	0.500	S	  95.381	 43.12	YN	BHE	Sg
LAC	  18.580	1.000	P	 107.018	211.49	YN	BHZ	Pg
YUX	  20.800	1.000	P	 122.292	344.76	YN	BHZ	Pg
YUX	  36.370	0.500	S	 122.292	344.76	YN	BHE	Sg
CAY	  22.200	1.000	P	 126.057	258.14	YN	BHZ	Pg
CAY	  36.690	0.500	S	 126.057	258.14	YN	BHN	Sg
YOD	  24.860	1.000	P	 144.333	300.89	YN	BHZ	Pg
YOD	  43.820	0.500	S	 144.333	300.89	YN	BHN	Sg
MEL	  25.150	1.000	P	 146.763	218.35	YN	BHZ	Pg
JIH	  25.870	1.000	P	 153.210	169.41	YN	BHZ	Pg
JIH	  44.500	0.500	S	 153.210	169.41	YN	BHN	Sg
YUJ	  26.080	1.000	P	 155.787	 81.83	YN	BHZ	Pn
CUX	  34.170	1.000	P	 213.699	 30.32	YN	BHZ	Pn
MAS	  34.790	1.000	P	 223.337	301.91	YN	BHZ	Pn
YIM	  35.360	1.000	P	 225.425	 48.80	YN	BHZ	Pn
JIS	  36.720	1.000	P	 235.992	 82.06	YN	BHZ	Pn
CHT	  36.870	1.000	P	 240.140	348.47	XG	BHZ	Pn
CHT	  69.170	0.500	S	 240.140	348.47	XG	BHE	Sg
MLA	  36.930	1.000	P	 242.602	153.03	YN	BHZ	Pn
XBT	  37.800	1.000	P	 243.831	  0.80	XG	BHZ	Pn
XBT	  70.310	0.500	S	 243.831	  0.80	XG	BHE	Sg
TUS	  38.500	1.000	P	 249.469	355.13	YN	BHZ	Pn
TUS	  72.880	0.500	S	 249.469	355.13	YN	BHE	Sg
TOH	  38.660	1.000	P	 250.312	 70.38	YN	BHZ	Pn
TOH	  74.290	0.500	S	 250.312	 70.38	YN	BHN	Sg
WAD	  38.600	1.000	P	 256.206	288.46	YN	BHZ	Pn
WAD	  74.320	0.500	S	 256.206	288.46	YN	BHE	Sg
TNC	  41.120	1.000	P	 269.776	313.40	YN	BHZ	Pn
TNC	  78.890	0.500	S	 269.776	313.40	YN	BHE	Sg
RHT	  40.890	1.000	P	 270.483	310.93	YN	BHZ	Pn
RHT	  77.740	0.500	S	 270.483	310.93	YN	BHE	Sg
GEJ	  41.590	1.000	P	 275.064	 89.94	YN	BHZ	Pn
CFT	  41.530	1.000	P	 275.214	  1.09	XG	BHZ	Pn
CFT	  79.340	0.500	S	 275.214	  1.09	XG	BHE	Sg
DAY	  42.170	1.000	P	 275.424	 18.04	YN	BHZ	Pn
JIP	  42.800	1.000	P	 289.731	102.58	YN	BHZ	Pn
YUM	  44.100	1.000	P	 293.624	 28.45	YN	BHZ	Pn
QKT	  44.570	1.000	P	 297.707	313.94	YN	BHZ	Pn
YUL	  44.770	1.000	P	 300.321	338.64	YN	BHZ	Pn
YUL	  86.120	0.500	S	 300.321	338.64	YN	BHE	Sg
HLT	  45.990	1.000	P	 304.067	 49.08	YN	BHZ	Pn
EYA	  45.860	1.000	P	 308.553	350.36	YN	BHZ	Pn
EYA	  88.980	0.500	S	 308.553	350.36	YN	BHE	Sg
MNO	  45.960	1.000	P	 310.646	304.27	YN	SHZ	Pn
LUQ	  46.840	1.000	P	 313.684	 39.41	YN	BHZ	Pn
LUS	  46.920	1.000	P	 318.241	329.50	YN	BHZ	Pn
LUS	  92.220	0.500	S	 318.241	329.50	YN	BHE	Sg
MIL	  46.940	1.000	P	 318.591	 68.31	YN	BHZ	Pn
HEQ	  51.860	1.000	P	 354.455	354.95	YN	BHZ	Pn
HUP	  53.080	1.000	P	 364.863	 11.55	YN	BHZ	Pn
HUP	 103.600	0.500	S	 364.863	 11.55	YN	BHE	Sg
YOS	  53.850	1.000	P	 370.440	  4.67	YN	BHZ	Pn
PZH	  54.250	1.000	P	 371.029	 20.05	SC	BHZ	Pn
WES	  55.320	1.000	P	 386.476	 88.69	YN	BHZ	Pn
MAL	  56.430	1.000	P	 388.973	 53.43	YN	BHZ	Pn
LIJ	  56.740	1.000	P	 392.284	356.62	YN	BHZ	Pn
DOC	  59.330	1.000	P	 408.511	 41.72	YN	BHZ	Pn
C01	  60.010	1.000	P	 411.732	 38.34	OC	BHZ	Pn
LOP	  59.980	1.000	P	 423.061	 65.82	YN	BHZ	Pn
LAP	  59.730	1.000	P	 424.550	155.23	LW	BHZ	Pn
MLP	  61.180	1.000	P	 433.755	 92.77	YN	BHZ	Pn
NIL	  62.760	1.000	P	 437.582	  4.90	YN	SHZ	Pn
B04	  65.230	1.000	P	 455.434	 33.55	OC	BHZ	Pn
C05	  65.930	1.000	P	 459.838	 28.93	OC	BHZ	Pn
A03	  66.670	1.000	P	 464.429	 37.81	OC	BHZ	Pn
QIJ	  67.080	1.000	P	 465.570	 31.88	YN	BHZ	Pn
YYU	  67.520	1.000	P	 471.110	 14.72	SC	BHZ	Pn
XUW	  68.120	1.000	P	 477.983	 50.10	YN	BHZ	Pn
LGH	  68.460	1.000	P	 484.255	  4.63	SC	BHZ	Pn
ZOD	  70.790	1.000	P	 500.661	351.33	YN	BHZ	Pn
L5302	  72.250	1.000	P	 506.095	 37.65	YN	SHZ	Pn
GOS	  73.370	1.000	P	 518.255	340.06	YN	BHZ	Pn
ZAT	  77.190	1.000	P	 547.271	 35.99	YN	BHZ	Pn
XCE	  84.930	1.000	P	 622.732	353.95	SC	BHZ	Pn
YAJ	  88.700	1.000	P	 647.840	 34.81	YN	BHZ	Pn
PXS	  88.710	1.000	P	 659.209	100.88	GX	BHZ	Pn
JLI	  91.200	1.000	P	 670.658	 36.34	SC	BHZ	Pn
MBI	  93.100	1.000	P	 680.612	 26.09	SC	BHZ	Pn
HWS	  97.640	1.000	P	 724.080	 35.19	SC	BHZ	Pn
CQT	 119.600	1.000	P	 906.115	 40.81	CQ	BHZ	Pn
#	2014	10	7	21	52	27.600	 23.198	100.451	 2.0	3.5	0	0	0	1421427	ÔÆÄÏ¾°¹È
JIG	   7.510	1.000	P	  44.532	 40.58	YN	BHZ	Pg
JIG	  12.660	0.500	S	  44.532	 40.58	YN	BHN	Sg
LIC	  13.960	1.000	P	  85.105	332.84	YN	BHZ	Pg
LIC	  24.140	0.500	S	  85.105	332.84	YN	BHN	Sg
ZHY	  18.840	1.000	P	 111.329	 36.76	YN	BHZ	Pg
#	2014	10	7	21	53	24.600	 23.398	100.497	 7.0	4.1	0	0	0	1421428	ÔÆÄÏ¾°¹È
JIG	   3.160	1.000	P	  26.897	 64.51	YN	BHZ	Pg
JIG	   7.700	0.500	S	  26.897	 64.51	YN	BHN	Sg
SIM	  15.230	1.000	P	  87.100	142.51	YN	BHZ	Pg
SIM	  25.050	0.500	S	  87.100	142.51	YN	BHN	Sg
ZHY	  16.690	1.000	P	  91.203	 42.78	YN	BHZ	Pg
ZHY	  26.850	0.500	S	  91.203	 42.78	YN	BHE	Sg
LAC	  18.960	1.000	P	 111.008	212.22	YN	BHZ	Pg
YUX	  20.100	1.000	P	 120.636	342.94	YN	BHZ	Pg
YUX	  34.540	0.500	S	 120.636	342.94	YN	BHN	Sg
CAY	  20.800	1.000	P	 129.816	257.30	YN	BHZ	Pg
CAY	  37.610	0.500	S	 129.816	257.30	YN	BHE	Sg
YOD	  23.920	1.000	P	 145.818	299.35	YN	BHZ	Pg
YOD	  42.140	0.500	S	 145.818	299.35	YN	BHE	Sg
#	2014	10	7	21	54	35.500	 23.478	100.462	 7.0	3.4	0	0	0	1421430	ÔÆÄÏ¾°¹È
JIG	   4.580	1.000	P	  27.977	 84.49	YN	BHZ	Pg
JIG	   8.380	0.500	S	  27.977	 84.49	YN	BHN	Sg
